S,X1,X2,Y
1,a,a,3
2,a,b,1
3,b,a,13
4,b,b,0
5,a,a,0
6,a,b,1
7,b,a,0
8,b,b,2
9,a,a,0
10,a,b,6
11,b,a,0
12,b,b,0
13,a,a,0
14,a,b,0
15,b,a,2
16,b,b,0
17,a,a,4
18,a,b,4
19,b,a,7
20,b,b,0
21,a,a,3
22,a,b,0
23,b,a,4
24,b,b,10
25,a,a,0
26,a,b,2
27,b,a,0
28,b,b,0
29,a,a,2
30,a,b,1
31,b,a,6
32,b,b,1
33,a,a,5
34,a,b,0
35,b,a,1
36,b,b,7
37,a,a,0
38,a,b,0
39,b,a,0
40,b,b,0
41,a,a,5
42,a,b,2
43,b,a,0
44,b,b,0
45,a,a,6
46,a,b,7
47,b,a,4
48,b,b,3
49,a,a,0
50,a,b,4
51,b,a,8
52,b,b,0
53,a,a,0
54,a,b,0
55,b,a,3
56,b,b,0
57,a,a,8
58,a,b,4
59,b,a,1
60,b,b,1
